Stored: pid: 49, processName: process_49, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 1, processName: process_1, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 12, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 50, processName: process_50, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 51, processName: process_51, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 52, processName: process_52, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 53, processName: process_53, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Loaded: pid: 10, processName: process_10, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 54, processName: process_54, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 10, processName: process_10, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 8, startTime: 1732873851, assignedCPUID: -1
Stored: pid: 55, processName: process_55, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 56, processName: process_56, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 57, processName: process_57, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Stored: pid: 58, processName: process_58, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873852, assignedCPUID: -1
Loaded: pid: 11, processName: process_11, memoryFrameSize: 64, memorySize: 128, linesOfCode: 1000, currentLineOfInstruction: 4, startTime: 1732873851, assignedCPUID: -1
